name,link,extra_fee,location,star_rating,latitude,longitude,number_nights
"Three Night Shepherd’s Hut Break for Two at Northcombe Farm and Lakes, Devon",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/three-night-shepherd-hut-break-for-two-at-northcombe-farm,£0,Devon (Northcombe Farm and Lakes),,50.936,-3.826,
"Two Night Weekend Luxury Shepherds Hut Stay for Two at New Lodge Farm, Rockingham Forest",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-weekend-luxury-shepherds-hut-stay-for-two-at-new-lodge-farm-rockingham-forest,£0,"Northamptonshire (New Lodge Farm, Rockingham Forest)",,52.436,-0.678,2
"The Quiet Site Three Night Hobbit Hole Glamping, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/the-quiet-site-three-night-hobbit-hole-glamping-lake-district,£0,Cumbria (The Quiet Site),,54.46,-3.089,
Two Night Glamping Pod Break in the South Devonshire Countryside for Two,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-glamping-pod-break-in-the-south-devonshire-countryside-for-two,£0,Devon,5.0,50.7,-3.5,2
"Two Night Premium Weekend Glamping Break for Two at Back of Beyond, Dorset",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-weekend-glamping-for-two-back-of-beyond,£0,Dorset (Back of Beyond),,50.938,-1.915,2
One Night Luxury Bell Tent Stay and Vineyard Tour for Two at Oastbrook Estate,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/one-night-luxury-bell-tent-stay-and-vineyard-tour-for-two-at-oastbrook-estate,£0,East Sussex (Oastbrook Estate),,50.953,0.686,1
Winter Two Night Adventure Glamping Escape with Axe Throwing or Archery for Two at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/winter-two-night-adventure-glamping-for-two-at-wall-eden,£0,Somerset (Wall Eden Farm),,51.227,-2.962,2
"Two Night Luxury Glamping Pod Break for Two at Jerusalem Farm, East Lothian",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-luxury-glamping-pod-break-for-two-at-jerusalem-farm-east-lothian,£0,East Lothian (Jerusalem Farm),,55.958,-2.882,2
Two Night Glamping Weekend Break for Two at New Lodge Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-glamping-break-for-two-new-lodge-farm,£0,Northamptonshire (New Lodge Farm),5.0,52.436,-0.678,2
Overnight Luxury Glamping Break with Private Hot Tub for up to Four at the Award Winning Secret Garden,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/overnight-luxury-glamping-break-with-private-hot-tub-for-up-to-four-at-the-award-winning-secret-garden,£0,Kent (Secret Garden),5.0,51.21,0.905,
Two Night Shepherd's Hut Break for Two at Catanger Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-shepherds-hut-break-for-two-at-catanger-farm-,£0,Northamptonshire (Catanger Farm),,52.134,-1.146,2
Two Night Traditional Wagon Break for Two,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-traditional-wagon-break-for-two-,£0,(Location in detailed product page),5.0,,,2
"Two Night Premium Midweek Glamping Break for Two at Back-Of-Beyond, Dorset",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-premium-midweek-glamping-for-two-back-of-beyond-,£0,Dorset (Back of Beyond),,50.938,-1.915,2
Winter Two Night Escape for Two in The Old Oak Glamping Pod at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/winter-two-night-escape-for-two-old-oak-glamping-pod,£0,Somerset (Wall Eden Farm),4.0,51.227,-2.962,2
Woodland Pod Glamping One Night Break with Dinner for Two at Moddershall Oaks,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/woodland-pod-glamping-one-night-break-with-dinner-for-two-at-moddershall-oaks,£0,Staffordshire (Moddershall Oaks),4.5,52.966,-2.151,1
Two Night Devon Yurt Break for Six,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-devon-yurt-break-for-six-2,£0,Devon,,50.7,-3.5,2
Two Night Luxury Weekday Glamping Pod Stay for Two at New Lodge Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/two-night-glamping-stay-for-two-new-lodge-farm,£0,Northamptonshire (New Lodge Farm),4.9,52.436,-0.678,2
Woodland Pod Glamping One Night Break with Breakfast for a Family of Four at Moddershall Oaks,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZh0SDj7-n3RVPPQ2/woodland-pod-glamping-one-night-break-with-breakfast-for-a-family-of-four-at-moddershall-oaks,£0,Staffordshire (Moddershall Oaks),,52.966,-2.151,1
"Two Night Weekday Luxury Shepherds Hut Stay for Two at New Lodge Farm, Rockingham Forest",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-weekday-shepherds-hut-stay-for-two-,£0,"Northamptonshire (New Lodge Farm, Rockingham Forest)",,52.436,-0.678,2
Winter Two Night Escape for Two in the Strawberry or Raspberry Glamping Pod at Wall Eden Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/winter-two-nights-for-two-strawberry-raspberry-glamping,£0,Somerset (Wall Eden Farm),,51.227,-2.962,2
Two Night Glamping Break in the South Devonshire Countryside for Two,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-glamping-break-south-devonshire-countryside-for-two,£0,Devon,5.0,50.7,-3.5,2
"Langstone Manor Three Night Mega Pod Glamping Break for Two, Dartmoor",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/three-night-mega-pod-glamping-break-two-langstone-manor-dartmoor,£0,"Devon (Dartmoor, Langstone Manor)",3.0,50.603,-3.875,
"Langstone Manor Two Night Mega Pod Glamping Break for Two, Dartmoor",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-mega-pod-glamping-for-two-langstone-manor,£0,"Devon (Dartmoor, Langstone Manor)",4.9,50.603,-3.875,2
"The Quiet Site Two Night Gingerbread House Glamping Break, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-lake-district-gingerbread-house-glamping-,£0,Cumbria (The Quiet Site),4.8,54.46,-3.089,2
"The Quiet Site Two Night Glamping Cabin Break, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-glamping-at-the-quiet-site,£0,Cumbria (The Quiet Site),5.0,54.46,-3.089,2
Port Lympne Safari One Night Glamping Stay for up to Four,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/port-lympne-safari-one-night-glamping-stay-for-up-to-four,£0,Kent (Port Lympne),4.8,51.075,1.001,1
One Night Camping Pod and Horse Riding Simulator Lesson for Two,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/one-night-camping-pod-horse-riding-simulator-for-two,£0,(Location in detailed product page),,,,1
"One Night Lake District Eco Camping Pod Break and Totally Wild Foraging, Cookery and Lunch for Two,",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/one-night-lake-district-eco-camping-pod-break-and-totally-wild-foraging-cookery-and-lunch-for-two,£0,Cumbria (Lake District),,54.5,-3.0,1
"Two Night Midweek Glamping Break for Two Back of Beyond, Dorset",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-midweek-glamping-for-two-back-of-beyond-,£0,Dorset (Back of Beyond),,50.938,-1.915,2
"The Quiet Site Two Night Hobbit Hole Glamping, Lake District",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/the-quiet-site-two-night-hobbit-hole-glamping-lake-district,£0,Cumbria (The Quiet Site),4.9,54.46,-3.089,2
Cairngorms National Park One Night Luxury Bothie Stay for up to Four,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/cairngorms-national-park-one-night-luxury-bothie-stay-for-up-to-four,£0,Cairngorms National Park,,57.1,-3.7,1
Two Night Devon Yurt Glamping Break,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-yurt-break-devon,£0,Devon,5.0,50.7,-3.5,2
"Two Night Shepherd’s Hut Break for Two at Northcombe Farm and Lakes, Devon",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-shepherds-hut-stay-for-two-northcombe-farm-,£0,Devon (Northcombe Farm and Lakes),4.7,50.936,-3.826,2
One Night Stratford-upon-Avon Glamping Break with Breakfast Hamper for Four at The Apple Farm,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/one-night-glamping-stay-breakfast-for-four-,£0,Warwickshire (Stratford-upon-Avon),5.0,52.191,-1.707,1
Woodland Pod Glamping One Night Break with Breakfast for Two at Moddershall Oaks,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/woodland-pod-glamping-one-night-break-breakfast-for-two-at-moddershall-oak,£0,Staffordshire (Moddershall Oaks),,52.966,-2.151,1
"South Lytchett Manor Two Night Stargazing Glamping Break for Two, Dorset",https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/south-lytchett-manor-two-night-glamping-break-for-two-,£0,Dorset (South Lytchett Manor),4.6,50.745,-2.057,2
Two Night Devon Shepherds Hut Break for Four,https://www.virginexperiencedays.co.uk/MyVoucher/fv-exchange-product/J-tGaCHZj0SDj7-n3RVPPQ2/two-night-devon-shepherds-hut-break-for-four-2,£0,Devon,,50.7,-3.5,2
